Machine_ID,Temperature,Run_Time,Downtime_Flag
M-612,114.41,8863,1
M-679,97.46,2667,0
M-686,74.03,7374,0
M-442,58.85,6011,0
M-118,82.8,9268,0
M-287,75.48,1368,1
M-932,61.02,2516,1
M-820,103.62,1240,0
M-188,85.92,9743,1
M-488,112.12,7890,1
M-368,66.8,9320,0
M-798,76.67,5946,1
M-125,58.26,5874,0
M-240,61.69,4900,0
M-336,100.84,7034,0
M-517,51.03,3661,0
M-590,102.33,5540,1
M-677,63.27,4595,0
M-366,113.35,1349,1
M-446,69.36,5506,0
M-908,65.83,3738,0
M-865,55.1,6798,0
M-912,114.77,3287,0
M-960,98.7,4098,0
M-637,51.48,908,0
M-594,56.86,2857,1
M-907,84.24,3890,1
M-230,99.86,8774,1
M-681,59.65,8245,1
M-368,82.23,4247,1
M-974,87.95,3112,0
M-386,113.62,7595,1
M-852,61.3,9714,1
M-960,63.12,2138,1
M-428,100.95,7660,0
M-171,81.27,1259,0
M-611,62.38,8511,0
M-843,109.02,9129,0
M-195,107.73,5477,1
M-401,100.87,1366,0
M-559,84.86,2101,1
M-327,108.71,5296,1
M-265,62.67,7506,1
M-884,117.95,2196,0
M-139,91.89,825,0
M-697,74.74,8589,0
M-929,64.41,4761,0
M-490,92.9,3196,1
M-594,98.29,9275,0
M-778,86.99,3876,0
M-525,100.38,446,1
M-107,86.16,9213,0
M-183,91.53,4677,0
M-775,99.84,5071,1
M-474,61.43,5337,1
M-450,68.01,8448,1
M-452,69.65,4544,1
M-492,60.13,5520,0
M-137,110.84,8453,1
M-572,117.9,5164,1
M-332,119.28,4780,1
M-879,118.01,9683,1
M-209,101.92,6614,1
M-461,92.33,8632,0
M-576,119.28,9465,1
M-222,118.15,1014,0
M-124,59.34,3100,0
M-273,104.01,5369,1
M-938,66.31,5569,0
M-276,99.87,7696,1
M-793,94.66,4776,0
M-261,58.28,4177,1
M-515,99.14,4096,0
M-402,98.22,341,0
M-996,82.76,8927,0
M-323,118.05,5234,0
M-466,77.4,1351,0
M-266,90.51,3115,1
M-479,77.81,1920,0
M-530,103.1,1329,1
M-955,79.83,4300,0
M-356,50.24,5894,0
M-872,76.56,9607,1
M-837,72.11,3315,1
M-595,55.46,5743,1
M-801,52.65,8021,0
M-782,103.69,6433,0
M-384,83.94,9776,0
M-565,99.88,6690,0
M-544,97.78,5227,0
M-780,91.6,1404,1
M-294,53.35,1539,1
M-890,59.85,9679,1
M-222,111.21,8750,1
M-704,54.84,6424,1
M-296,117.31,193,1
M-978,62.78,2648,0
M-524,92.35,6916,0
M-974,107.15,871,0
M-728,112.84,8428,1
M-285,96.86,2163,1
M-568,83.01,2841,0
M-449,81.54,9290,0
M-456,91.65,4399,1
M-554,112.84,4665,0
M-845,70.88,5038,1
M-395,109.73,7829,0
M-998,63.17,1613,0
M-165,109.89,5300,1
M-547,110.56,4106,1
M-986,82.96,7553,1
M-266,101.93,2419,0
M-329,110.31,1533,0
M-392,58.56,5819,1
M-113,58.89,5450,0
M-119,52.86,7575,1
M-936,87.63,1393,1
M-708,93.0,6162,0
M-294,75.55,3794,0
M-182,82.19,471,1
M-320,79.82,1769,1
M-596,79.13,277,1
M-142,119.5,2810,1
M-233,98.6,509,1
M-628,50.92,9160,1
M-573,64.66,2274,1
M-511,118.11,2308,1
M-526,67.09,5553,0
M-590,109.3,1074,0
M-806,62.7,4482,1
M-132,62.14,1717,0
M-876,56.01,7114,1
M-168,107.18,5438,0
M-545,119.81,6910,1
M-433,57.33,5267,0
M-614,96.26,1905,1
M-551,83.46,202,0
M-184,92.24,2286,1
M-203,87.73,8472,1
M-367,79.32,1655,0
M-124,101.66,6183,1
M-982,64.06,1925,1
M-473,98.04,5369,0
M-832,52.5,4683,0
M-806,83.26,1863,1
M-714,56.61,7070,0
M-456,79.29,9734,0
M-455,50.62,235,1
M-283,93.45,9061,1
M-252,108.8,2795,1
M-648,86.07,3081,0
M-409,113.19,2961,0
M-517,89.23,9233,1
M-465,102.21,7050,1
M-582,67.8,1721,1
M-754,85.34,2192,0
M-693,63.06,7298,1
M-265,69.46,870,1
M-800,103.64,3466,0
M-315,103.07,8209,1
M-455,104.06,8497,0
M-316,115.15,9294,1
M-840,115.35,1506,1
M-122,72.29,5779,1
M-449,95.0,4103,1
M-223,96.55,4096,0
M-840,106.07,4103,1
M-368,101.2,3638,0
M-402,106.34,5511,1
M-753,119.43,3770,1
M-543,55.59,1097,0
M-317,112.33,3113,0
M-179,67.67,5936,0
M-426,81.72,2631,0
M-670,114.96,8955,1
M-392,51.02,3061,0
M-805,106.15,3739,0
M-320,61.41,2304,1
M-437,50.92,3977,1
M-816,99.48,1538,1
M-483,90.32,3567,0
M-893,63.47,2964,0
M-622,105.22,7288,1
M-935,65.52,7868,1
M-141,90.31,4787,1
M-257,82.13,2938,1
M-913,66.56,4569,0
M-836,69.63,9295,0
M-694,96.48,6518,0
M-258,74.39,3302,1
M-508,65.24,7343,0
M-246,70.22,8702,1
M-155,91.36,9331,1
M-937,72.82,7838,1
M-920,88.39,1311,0
M-367,81.31,3275,0
M-639,112.17,662,1
M-171,76.61,4853,1
M-889,50.4,5011,1
M-639,82.89,658,0
M-262,83.06,6190,1
M-828,85.66,9674,1
M-934,84.18,5096,1
M-698,118.1,6523,1
M-956,88.08,3328,0
M-557,109.2,7373,1
M-171,108.54,2828,0
M-754,80.59,3744,0
M-377,67.73,2186,1
M-712,73.02,7183,1
M-842,58.83,2424,1
M-688,104.2,1812,0
M-989,62.18,3789,1
M-172,91.12,7491,1
M-925,74.96,4491,0
M-344,91.05,2533,1
M-699,116.29,1962,1
M-842,114.51,4774,1
M-497,84.54,7259,0
M-185,64.95,2208,1
M-699,84.84,8651,0
M-765,93.07,749,0
M-451,75.09,3402,0
M-186,57.39,6271,0
M-759,63.19,7479,0
M-751,91.28,9389,0
M-682,120.0,4573,1
M-299,58.0,3185,0
M-836,58.92,8781,1
M-629,104.46,9752,0
M-301,60.1,6250,0
M-630,89.22,198,1
M-820,90.5,3122,1
M-502,112.7,1721,1
M-126,66.66,6191,0
M-415,50.23,5725,0
M-594,94.48,8275,1
M-389,53.43,4935,0
M-421,63.88,451,0
M-908,114.72,574,0
M-619,92.49,9323,0
M-436,70.68,5168,1
M-818,102.8,5454,0
M-289,58.98,1931,0
M-619,54.05,6576,1
M-317,114.77,5989,1
M-411,96.15,3055,0
M-622,107.6,4999,0
M-665,106.75,171,1
M-776,109.99,1683,1
M-935,79.71,1371,0
M-241,95.5,9581,0
M-801,61.65,3536,0
M-923,105.1,5573,0
M-398,97.48,1198,1
M-973,97.45,7862,1
M-639,59.14,9237,0
M-264,61.29,2007,0
M-658,115.55,1416,1
M-366,51.39,1043,1
M-377,68.99,7128,1
M-198,78.04,8828,0
M-851,78.06,1044,0
M-200,76.21,6714,1
M-807,108.57,974,1
M-340,69.94,6872,0
M-346,79.62,4700,0
M-618,59.51,4414,0
M-315,51.77,7002,1
M-611,56.47,3991,0
M-436,114.57,6333,1
M-760,60.33,6569,1
M-186,117.02,7781,1
M-788,93.31,9810,1
M-406,66.97,2669,1
M-541,63.12,2853,0
M-422,82.8,469,1
M-433,95.58,7526,0
M-785,53.25,6519,1
M-217,82.96,1702,1
M-667,112.33,8681,1
M-702,73.3,9166,0
M-926,107.86,8463,1
M-808,54.47,6925,0
M-816,69.65,5135,0
M-102,84.07,219,0
M-176,66.43,560,1
M-477,113.24,2314,1
M-533,110.55,9509,1
M-351,51.21,9596,1
M-982,56.39,7696,1
M-445,96.55,9508,0
M-850,100.82,6500,1
M-177,53.94,4662,0
M-546,55.45,5374,0
M-793,118.39,6717,0
M-614,118.28,7972,1
M-862,113.59,2506,1
M-155,52.43,707,1
M-413,85.97,7322,0
M-247,110.26,600,0
M-872,79.96,7672,1
M-764,54.08,1582,1
M-845,83.83,4644,1
M-425,67.36,6412,0
M-334,86.33,466,0
M-628,113.42,7523,1
M-204,100.71,7328,0
M-763,92.14,8990,1
M-818,105.93,4811,1
M-756,58.66,9333,1
M-357,81.6,3420,1
M-559,83.14,9228,1
M-732,58.11,7046,1
M-148,77.92,5558,0
M-200,110.24,4928,0
M-954,75.66,3333,1
M-460,86.27,3156,0
M-320,115.4,2518,1
M-207,85.3,2988,1
M-869,81.21,7480,0
M-883,78.07,3506,1
M-366,104.23,645,0
M-469,118.39,1488,1
M-546,116.67,509,1
M-474,62.52,5494,0
M-439,103.33,3256,0
M-225,70.16,9660,1
M-230,95.62,7473,1
M-276,70.59,7392,0
M-832,109.81,8905,1
M-217,93.77,6873,1
M-205,58.46,6053,0
M-721,75.6,4520,0
M-377,69.09,101,0
M-911,64.89,3491,0
M-666,55.87,2515,1
M-134,74.05,1504,1
M-816,82.37,6224,0
M-225,77.2,5749,0
M-266,60.52,6800,1
M-358,84.6,9390,0
M-297,96.03,8518,0
M-779,113.73,9491,1
M-991,100.54,3035,1
M-830,71.14,463,1
M-118,101.95,5301,0
M-185,80.39,6608,0
M-565,80.56,9095,0
M-311,96.26,2227,0
M-437,73.92,8462,1
M-783,60.71,5384,0
M-999,98.01,4029,1
M-797,100.17,977,0
M-349,109.97,1350,1
M-382,89.53,9024,0
M-403,61.13,2222,1
M-144,70.73,6366,0
M-156,119.97,3556,0
M-192,87.95,7194,1
M-312,75.3,4625,1
M-724,99.03,1172,0
M-854,96.66,5747,0
M-192,117.71,9331,0
M-961,117.83,2224,0
M-477,87.38,1211,1
M-809,80.3,2800,1
M-775,63.27,3462,0
M-569,102.2,7365,0
M-735,119.41,2978,0
M-713,117.45,2276,0
M-656,113.2,686,0
M-283,112.66,3815,0
M-432,112.35,2324,0
M-125,56.6,678,0
M-167,115.66,7638,1
M-355,105.53,1912,1
M-268,97.57,4902,0
M-587,101.52,2348,0
M-817,54.53,1867,1
M-368,81.72,9136,0
M-692,54.45,7901,1
M-728,77.62,5952,0
M-346,100.51,8368,0
M-804,62.85,362,1
M-335,84.76,2485,0
M-511,96.97,2783,0
M-704,93.59,8650,0
M-587,111.67,3501,0
M-125,83.05,7236,0
M-295,112.95,2844,0
M-582,115.41,1539,1
M-849,84.0,1685,1
M-628,101.54,3284,0
M-345,118.01,655,0
M-423,87.44,8119,1
M-506,74.86,1758,1
M-939,64.33,116,0
M-950,73.17,838,1
M-541,66.6,8679,0
M-689,93.03,9963,1
M-736,65.39,5255,1
M-325,83.82,7347,0
M-431,54.14,4881,1
M-766,116.96,7794,0
M-995,112.55,9613,1
M-530,74.22,6533,0
M-144,95.14,8832,0
M-139,71.74,6960,0
M-795,75.69,298,1
M-160,95.28,1912,1
M-877,83.69,5393,0
M-954,57.86,7131,1
M-912,93.17,6884,0
M-806,83.28,6996,0
M-753,103.62,1643,0
M-375,58.72,8438,1
M-550,99.35,3183,0
M-912,100.49,3261,1
M-371,114.55,3196,1
M-935,59.92,8803,1
M-522,89.61,7502,1
M-999,61.27,7896,0
M-779,96.18,5420,0
M-592,73.42,6518,0
M-225,60.38,9241,0
M-671,111.13,1034,1
M-998,50.17,3533,1
M-104,76.11,840,1
M-893,79.96,7067,1
M-959,85.84,3464,1
M-556,95.1,9513,1
M-791,101.63,7670,0
M-836,109.31,1254,1
M-350,60.96,5407,0
M-738,112.24,2450,0
M-136,97.53,7077,1
M-523,109.08,1241,0
M-700,100.23,6985,0
M-361,118.05,7721,1
M-974,80.24,6041,1
M-393,90.46,6023,1
M-518,91.16,2223,1
M-173,107.23,3092,1
M-645,104.0,6821,0
M-322,50.47,3237,0
M-180,54.21,7505,0
M-586,86.61,5532,1
M-266,108.19,6956,1
M-660,68.18,9113,1
M-638,78.86,8912,1
M-897,86.73,3531,0
M-225,106.41,3852,0
M-613,94.81,2258,0
M-744,88.38,6608,0
M-845,81.76,2538,0
M-986,80.79,5323,0
M-836,92.49,8497,1
M-152,54.55,2237,0
M-396,110.32,8364,0
M-991,105.45,1247,0
M-569,87.57,3018,1
M-889,57.4,885,0
M-956,111.08,2705,0
M-498,61.41,7958,1
M-934,77.0,8863,1
M-661,119.65,5245,0
M-668,112.7,5689,1
M-491,81.41,7631,0
M-159,90.26,2034,0
M-593,117.61,5640,0
M-981,114.12,559,1
M-454,75.16,7289,1
M-550,73.62,6331,1
M-529,87.02,2313,0
M-444,78.67,4826,0
M-453,58.05,5010,1
M-914,68.6,6841,1
M-882,63.56,6144,1
M-457,115.77,2261,1
M-928,107.09,2966,0
M-725,83.03,2501,0
M-858,113.44,263,1
M-310,78.23,4692,1
M-655,98.07,7873,1
M-173,56.02,4853,0
M-151,51.8,5649,1
M-844,104.84,1422,0
M-904,119.76,2070,0
M-980,61.47,5129,0
M-121,60.3,7158,1
M-949,99.74,5054,0
M-778,89.91,5139,1
M-768,93.69,754,0
M-252,94.57,5949,1
M-410,92.52,2667,0
M-792,91.25,353,0
M-650,51.15,2180,1
M-149,96.27,6377,1
M-402,88.78,9457,1
M-607,67.29,8197,0
M-651,102.01,469,0
M-837,51.67,2906,1
M-371,53.9,5284,1
M-108,78.2,896,0
M-264,78.92,6107,1
M-129,100.78,6028,0
M-285,79.51,2940,1
M-252,66.09,2689,0
M-969,93.57,3011,1
M-330,94.78,7408,1
M-106,107.07,739,1
M-605,58.58,1690,1
M-775,53.16,5164,1
M-508,81.44,9969,0
M-573,89.34,5131,0
M-473,57.74,9922,0
M-405,50.6,191,0
M-230,67.66,960,0
M-205,66.62,8173,0
M-705,68.75,9630,0
M-675,74.04,616,0
M-379,55.05,4811,0
M-215,83.18,3459,0
M-586,106.25,1505,0
M-103,87.06,4476,0
M-224,112.73,7379,1
M-419,53.9,8766,0
M-648,68.29,7299,0
M-472,81.62,8337,0
M-771,117.3,7610,0
M-682,114.45,9739,0
M-983,67.18,8035,0
M-423,119.02,1810,0
M-873,68.93,1508,1
M-414,54.24,3468,1
M-558,101.32,1253,0
M-231,90.86,2771,1
M-443,101.87,7623,0
M-392,69.47,9065,0
M-734,54.29,2413,1
M-757,52.24,2831,0
M-516,86.24,1803,1
M-269,117.87,8531,0
M-621,89.76,5766,0
M-680,73.36,8458,1
M-749,101.06,9794,0
M-214,116.63,9679,1
M-803,67.17,4769,1
M-182,79.19,610,1
M-444,119.76,6345,0
M-922,90.59,5479,1
M-140,106.12,2180,0
M-497,74.49,8553,0
M-111,102.07,4875,0
M-131,80.67,8839,0
M-559,97.89,3326,1
M-940,79.4,3016,0
M-562,71.55,4941,0
M-578,73.31,7978,0
M-856,101.83,7083,1
M-672,87.0,789,1
M-430,64.54,3550,1
M-650,69.55,7361,0
M-829,101.56,5136,1
M-972,115.9,6683,1
M-409,73.62,4183,1
M-419,100.15,6195,1
M-914,104.78,7696,0
M-356,107.71,8895,1
M-896,74.8,5112,1
M-535,76.38,7165,0
M-957,94.49,3882,0
M-981,67.31,483,1
M-168,116.23,4141,0
M-704,117.42,2419,1
M-933,102.62,4276,0
M-260,67.04,4769,1
M-575,76.78,5866,1
M-252,92.88,2373,0
M-149,85.28,4721,0
M-302,93.98,8008,1
M-943,57.42,5739,1
M-332,56.02,6473,0
M-839,66.63,8312,1
M-353,88.49,9301,0
M-439,113.75,3734,1
M-201,116.55,7173,1
M-592,98.75,6138,1
M-283,102.62,7928,1
M-172,116.33,7430,1
M-421,88.2,9757,0
M-153,94.98,3498,0
M-647,107.93,3313,1
M-599,93.47,2190,1
M-990,113.04,9769,1
M-861,94.34,1266,1
M-763,87.08,5949,0
M-465,63.9,1046,1
M-899,115.11,7915,1
M-747,110.21,8598,0
M-664,78.08,2946,0
M-200,104.29,3836,1
M-171,67.14,8951,0
M-494,90.91,8915,1
M-453,93.86,4718,1
M-925,107.4,2707,1
M-605,55.33,379,1
M-407,70.28,400,1
M-370,111.79,2311,1
M-801,62.84,8974,1
M-680,108.1,5527,0
M-388,79.66,1970,1
M-207,82.21,5696,0
M-313,55.33,2918,1
M-973,115.66,490,0
M-306,115.17,7249,1
M-116,63.96,8821,0
M-209,100.73,5393,0
M-787,56.99,8811,0
M-992,70.52,5579,1
M-421,92.05,2265,0
M-376,107.28,9958,0
M-720,65.09,6183,0
M-183,63.98,6965,0
M-607,105.51,1687,0
M-353,110.37,8381,1
M-270,85.03,4483,1
M-143,77.07,7388,0
M-890,93.96,1581,1
M-114,93.28,2932,1
M-113,104.64,6865,0
M-915,63.42,2383,1
M-837,65.72,766,0
M-177,113.84,1287,1
M-325,58.38,1731,1
M-763,88.05,7461,0
M-580,50.08,8692,1
M-767,82.41,3475,1
M-347,51.23,3490,1
M-177,92.74,7734,0
M-259,115.75,6936,1
M-126,50.51,3560,1
M-318,81.35,4288,1
M-934,91.74,7724,1
M-716,52.79,9197,1
M-604,115.85,7966,1
M-690,115.55,7458,0
M-942,59.91,8400,0
M-933,106.54,7717,0
M-750,76.44,3238,1
M-550,67.86,3574,1
M-961,53.1,7954,0
M-614,74.43,1729,0
M-951,90.94,6975,1
M-213,55.64,3628,1
M-966,103.55,4388,0
M-704,58.86,2966,0
M-638,61.71,762,1
M-943,81.35,4301,1
M-423,81.81,6028,1
M-733,109.53,887,1
M-668,70.26,2634,0
M-632,61.31,4291,0
M-634,87.5,1785,0
M-176,90.17,4924,0
M-135,76.01,9209,1
M-103,70.3,5240,0
M-299,89.47,2908,0
M-796,103.14,8445,1
M-728,60.05,4404,0
M-492,64.53,5667,0
M-853,110.51,365,0
M-800,77.05,8186,0
M-871,105.3,5247,0
M-113,67.58,8910,1
M-351,115.81,6356,0
M-656,104.71,2921,0
M-653,110.1,6089,0
M-289,111.75,8664,0
M-696,54.76,6368,1
M-962,79.67,5964,0
M-446,75.75,4836,0
M-287,52.56,5094,1
M-899,109.97,1914,1
M-137,118.68,7099,0
M-510,96.48,7874,0
M-674,86.14,8708,1
M-438,53.35,7763,0
M-754,87.79,9415,0
M-345,78.09,2019,1
M-623,106.04,8705,1
M-922,95.39,7385,1
M-639,81.53,3909,1
M-530,86.06,3836,1
M-583,112.23,8570,1
M-952,111.15,4929,0
M-430,78.84,8842,1
M-578,80.54,715,1
M-322,96.21,5155,1
M-521,60.49,6647,0
M-880,62.27,1509,0
M-577,98.19,341,0
M-119,111.12,4088,0
M-656,98.24,7191,1
M-862,113.9,2511,0
M-209,106.39,2327,0
M-356,79.26,9847,1
M-103,78.75,5750,1
M-328,80.39,1967,0
M-502,117.01,5126,1
M-326,113.83,6388,0
M-430,115.83,3819,1
M-891,119.08,9692,1
M-551,94.16,3147,1
M-493,75.16,7662,1
M-586,78.15,4433,1
M-400,51.54,2882,1
M-582,56.53,7733,1
M-996,106.56,3854,1
M-205,96.93,2362,0
M-853,56.2,4410,1
M-614,98.36,3716,1
M-910,82.04,4749,1
M-125,114.55,1429,1
M-811,60.56,9455,1
M-817,96.59,3839,1
M-218,54.5,4191,0
M-939,113.5,9811,0
M-766,74.32,3823,0
M-634,91.77,1849,1
M-100,99.77,5909,1
M-333,77.54,7471,1
M-227,103.44,6806,0
M-158,110.78,1145,0
M-993,50.96,9393,1
M-792,76.33,4566,1
M-962,92.26,6755,0
M-158,94.01,8445,0
M-752,73.06,2313,1
M-196,63.28,7725,1
M-515,96.31,3190,0
M-131,77.65,1785,0
M-762,54.62,8787,1
M-893,84.27,7071,1
M-441,96.99,8709,1
M-200,97.06,4449,1
M-381,57.23,4121,1
M-240,111.73,5147,1
M-195,111.04,6445,0
M-605,51.71,4033,0
M-141,72.57,6549,1
M-572,63.06,4428,1
M-922,73.48,1878,1
M-846,98.49,7395,1
M-842,112.04,9844,1
M-984,63.96,5744,0
M-705,99.01,5151,0
M-751,82.82,3101,0
M-122,65.16,8179,1
M-435,75.98,1862,1
M-529,62.9,577,0
M-618,72.88,4589,1
M-292,53.75,7894,0
M-735,119.49,3606,1
M-864,113.55,1783,0
M-681,119.63,9284,0
M-928,80.04,3429,0
M-606,83.91,7921,0
M-164,97.86,2700,1
M-806,102.08,8833,1
M-256,67.51,6686,0
M-111,55.07,9871,1
M-812,110.19,5044,1
M-209,53.05,243,1
M-286,55.53,5629,1
M-827,105.05,8302,0
M-702,58.9,5409,1
M-730,55.42,4779,0
M-786,107.13,1383,1
M-906,96.06,5553,0
M-742,101.8,8888,1
M-236,107.4,2380,1
M-471,94.39,1140,1
M-605,90.78,1696,0
M-244,83.53,5100,1
M-128,93.3,5115,1
M-104,80.59,7145,0
M-247,77.46,324,0
M-458,71.63,4442,1
M-885,56.3,1004,1
M-456,56.76,9099,1
M-816,101.07,9081,0
M-745,102.23,5935,0
M-817,108.91,6703,0
M-984,109.43,5825,0
M-513,62.89,4800,0
M-587,112.64,9939,0
M-372,54.67,6816,0
M-477,59.26,5346,1
M-524,108.22,8250,0
M-255,84.05,8574,1
M-594,85.98,8022,1
M-573,69.18,188,1
M-457,114.4,9271,0
M-457,66.16,877,0
M-656,70.35,4008,0
M-795,116.96,1549,0
M-559,67.85,1916,1
M-831,78.7,9453,1
M-282,87.59,9115,0
M-795,112.36,4939,1
M-533,101.42,9449,1
M-505,103.01,5886,0
M-263,115.37,5289,0
M-992,87.9,1544,1
M-568,81.51,271,0
M-578,57.66,6299,0
M-208,73.72,4609,0
M-335,85.39,5864,1
M-703,51.88,6399,0
M-631,58.03,7923,1
M-481,119.42,1037,1
M-278,89.75,1017,1
M-952,100.57,2546,1
M-262,85.97,9225,0
M-343,103.01,7038,1
M-748,67.28,4911,0
M-500,107.26,7261,0
M-570,51.0,1428,1
M-819,77.49,1190,1
M-943,115.57,158,0
M-882,76.76,3390,0
M-446,79.81,5956,0
M-309,82.87,1110,1
M-254,99.74,7737,0
M-236,68.14,1080,1
M-761,53.68,6015,1
M-692,91.68,2494,1
M-588,62.44,8420,1
M-218,98.25,1555,1
M-181,104.77,6077,0
M-448,51.64,5369,0
M-867,83.12,4736,0
M-862,119.86,4217,1
M-685,85.48,4806,0
M-333,115.05,739,0
M-260,90.28,1271,1
M-539,87.04,7069,1
M-753,111.61,2535,1
M-858,53.82,3218,1
M-233,70.54,7664,1
M-694,68.79,4135,0
M-471,81.52,9990,1
